step#mean#std#min#25% percentile#50% percentile#75% percentile#max
1	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
2	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
3	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
4	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
5	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
6	-1009.0747879247674	53.276494732913704	-1062.3512826576812	-1035.7130352912243	-1009.0747879247674	-982.4365405583106	-955.7982931918538
7	-714.8319367074785	347.51934595020265	-1062.3512826576812	-888.5916096825798	-714.8319367074785	-541.0722637323772	-367.3125907572758
8	-714.8319367074785	347.51934595020265	-1062.3512826576812	-888.5916096825798	-714.8319367074785	-541.0722637323772	-367.3125907572758
9	-458.2238044712136	90.91121371393777	-549.1350181851514	-503.6794113281825	-458.2238044712136	-412.7681976142447	-367.3125907572758
10	-458.2238044712136	90.91121371393777	-549.1350181851514	-503.6794113281825	-458.2238044712136	-412.7681976142447	-367.3125907572758
11	-237.97248834072084	129.34010241655494	-367.3125907572758	-302.64253954899834	-237.97248834072087	-173.30243713244337	-108.63238592416589
12	-237.97248834072084	129.34010241655494	-367.3125907572758	-302.64253954899834	-237.97248834072087	-173.30243713244337	-108.63238592416589
