response#factorybg#messaging#navprimary#knowledge
0.816	2.500	2.500	0.500	3.000
0.809	2.563	2.495	0.979	3.746
0.811	3.103	2.498	0.593	3.407
0.812	2.554	2.416	0.363	3.602
0.812	2.662	2.503	0.721	3.362
0.812	2.786	2.077	0.010	2.789
0.801	2.913	2.015	0.861	3.965
0.817	2.753	2.544	0.060	2.868
0.812	2.758	2.247	0.320	3.109
0.808	3.022	2.541	0.792	4.147
0.817	2.257	2.409	0.049	2.746
0.808	2.841	2.401	0.729	3.866
0.807	3.493	2.275	1.325	4.081
0.818	1.934	2.791	0.330	3.372
0.816	2.973	2.009	1.370	4.502
0.815	2.373	2.445	0.064	3.113
0.811	1.783	2.322	0.627	3.663
0.804	3.527	1.964	1.023	4.558
0.815	2.102	2.633	0.584	3.575
0.815	2.946	2.233	0.145	2.202
